Chromosome	End	cM
chr1	0	0.000
chr1	103903	0.000
chr1	147549	0.302
chr1	361579	0.302
chr1	418827	0.604
chr1	422841	0.906
chr1	607836	0.906
chr1	630626	1.208
chr1	637246	1.208
chr1	637273	1.511
chr1	688261	1.511
chr1	758147	1.813
chr1	762295	1.813
chr1	777137	2.115
chr1	777180	2.417
chr1	898878	2.417
chr1	898883	2.719
chr1	898940	2.719
chr1	898945	3.021
chr1	1020258	3.021
chr1	1206187	3.323
chr1	1274148	3.323
chr1	1314782	3.625
chr1	1417167	3.625
chr1	1417184	3.625
chr1	1492457	4.181
chr1	1507034	4.230
chr1	1596981	4.230
chr1	1607829	4.532
chr1	1676588	4.532
chr1	1676589	4.834
chr1	1676620	4.834
chr1	1684076	5.136
chr1	1738276	5.136
chr1	1738287	5.136
chr1	1996301	5.730
chr1	2005291	5.740
chr1	2137685	5.740
chr1	2137747	6.042
chr1	2176058	6.042
chr1	2197190	6.349
chr1	2211792	6.872
chr1	2222593	7.036
chr1	2222598	7.036
chr1	2272964	7.648
chr1	2373990	8.382
chr1	2547604	8.684
chr1	2667658	9.012
chr1	2678880	9.035
chr1	2692394	9.668
chr1	2846475	9.668
chr1	2846506	9.970
chr1	2862503	9.970
chr1	2862536	10.574
chr1	2899033	10.876
chr1	2899106	10.876
chr1	3102031	11.502
chr1	3174165	12.027
chr1	3192998	12.085
chr1	3207516	12.085
chr1	3239696	12.387
chr1	3239766	12.689
chr1	3321984	12.689
chr1	3321994	12.803
chr1	3322012	13.001
chr1	3530597	13.304
chr1	3554547	13.304
chr1	3605973	14.814
chr1	3740310	14.814
chr1	3740337	15.116
chr1	3842477	15.418
chr1	3842534	15.418
chr1	3842585	15.419
chr1	3893090	15.947
chr1	3909840	16.023
chr1	3937840	16.023
chr1	3961696	16.929
chr1	4006264	16.929
chr1	4006286	17.231
chr1	4139143	17.231
chr1	4233145	17.737
chr1	4259723	18.097
chr1	4339027	18.269
chr1	4339039	18.572
chr1	4339064	18.572
chr1	4339074	18.874
chr1	4385551	18.975
chr1	4535788	19.603
chr1	4556462	19.857
chr1	4565620	19.950
chr1	4565635	19.950
chr1	4565638	20.252
chr1	4826488	20.252
chr1	4826524	20.554
chr1	4993458	20.554
chr1	5121582	20.856
chr1	5219620	20.856
chr1	5225661	21.159
chr1	5225676	21.159
chr1	5417413	21.461
chr1	5428146	21.554
chr1	5452084	21.989
chr1	5556002	22.971
chr1	5560128	22.971
chr1	5560143	22.971
chr1	5591941	23.653
chr1	5684819	23.878
chr1	5718141	23.878
chr1	5743983	24.261
chr1	5814381	24.482
chr1	5814382	24.482
chr1	5908225	25.063
chr1	5916037	25.086
chr1	5977825	25.570
chr1	6018631	25.690
chr1	6050465	25.690
chr1	6100994	25.992
chr1	6167375	25.992
chr1	6184592	26.295
chr1	6192411	26.295
chr1	6202082	26.899
chr1	6702191	26.899
chr1	6740519	27.135
chr1	6751079	27.503
chr1	6751115	27.503
chr1	6826706	27.503
chr1	6894898	27.643
chr1	6973407	28.409
chr1	6973419	28.409
chr1	6973458	28.410
chr1	6997526	28.712
chr1	6997559	28.712
chr1	7007559	29.014
chr1	7014628	29.316
chr1	7086086	29.316
chr1	7109842	29.371
chr1	7109862	29.673
chr1	7109902	29.673
chr1	7217104	30.524
chr1	7217145	30.524
chr1	7288848	30.826
chr1	7288869	30.826
chr1	7372638	31.577
chr1	7376157	31.583
chr1	7461916	32.035
chr1	7524133	32.035
chr1	7552444	32.071
chr1	7720109	32.586
chr1	7761544	32.639
chr1	7832493	32.639
chr1	7891117	32.941
chr1	8055515	32.941
chr1	8241171	33.226
chr1	8252578	33.545
chr1	9063771	33.545
chr1	9123330	33.847
chr1	9363719	33.847
chr1	9419044	34.150
chr1	9471112	34.150
chr1	9555994	34.475
chr1	9628676	35.056
chr1	9699874	35.056
chr1	9748038	35.358
chr1	10150738	35.358
chr1	10240866	35.660
chr1	10366828	35.660
chr1	10366877	35.962
chr1	10390884	35.962
chr1	10422397	36.127
chr1	10448681	36.566
chr1	10448730	36.567
chr1	10539093	36.567
chr1	10583037	36.869
chr1	10708697	36.869
chr1	10767724	37.171
chr1	10843011	37.473
chr1	10878240	37.473
chr1	11023287	38.005
chr1	11023333	38.005
chr1	11043219	38.168
chr1	11068976	38.681
chr1	11068988	38.983
chr1	11069011	38.983
chr1	11201280	39.890
chr1	11248040	39.890
chr1	11333588	40.192
chr1	11443562	40.192
chr1	11443595	40.494
chr1	11534113	40.494
chr1	11596096	40.796
chr1	12066941	40.796
chr1	12067002	41.098
chr1	12408272	41.098
chr1	12493848	41.400
chr1	12564681	41.400
chr1	12571215	41.703
chr1	12773353	41.703
chr1	12791447	42.005
chr1	12807380	42.005
chr1	12812088	42.911
chr1	12812102	42.911
chr1	12852176	43.213
chr1	12886557	43.213
chr1	12921522	43.515
chr1	12921528	43.515
chr1	13003967	43.817
chr1	13037844	43.817
chr1	13046689	44.119
chr1	13496886	44.119
chr1	13507232	44.422
chr1	13507288	44.422
chr1	13670202	44.724
chr1	13670230	44.724
chr1	13711891	45.026
chr1	13792307	45.026
chr1	13858153	45.328
chr1	13917852	45.630
chr1	14041334	45.630
chr1	14041336	45.932
chr1	14162365	45.932
chr1	14290940	46.195
chr1	14310380	47.141
chr1	14342688	47.443
chr1	14389451	47.443
chr1	14411099	48.138
chr1	14461642	48.349
chr1	14498732	48.349
chr1	14530212	48.651
chr1	14615878	48.651
chr1	14667452	49.255
chr1	14727250	49.255
chr1	14870964	49.558
chr1	14990659	49.558
chr1	14990662	49.558
chr1	15054633	50.161
chr1	15054703	50.162
chr1	15187998	50.162
chr1	15188006	50.464
chr1	15227038	50.464
chr1	15236294	50.766
chr1	15289208	50.766
chr1	15289238	50.766
chr1	15374862	51.326
chr1	15389548	51.370
chr1	15393193	51.370
chr1	15457375	51.672
chr1	15457400	51.672
chr1	15511914	51.974
chr1	15562849	51.974
chr1	15696732	52.277
chr1	15728599	52.579
chr1	15777858	53.183
chr1	15944532	53.183
chr1	15944534	53.485
chr1	15970828	53.485
chr1	15971688	53.787
chr1	16185056	53.787
chr1	16197182	54.089
chr1	16263991	54.089
chr1	16266703	54.391
chr1	16458111	54.391
chr1	16466960	54.693
chr1	16514632	54.996
chr1	16642688	54.996
chr1	16642726	55.298
chr1	16892327	55.298
chr1	16892331	55.600
chr1	16931573	55.902
chr1	16952125	55.902
chr1	16972782	56.204
chr1	17206585	56.204
chr2	0	0.000
chr2	49329	0.000
chr2	63098	0.112
chr2	86353	0.699
chr2	115569	1.331
chr2	116439	1.345
chr2	153138	1.511
chr2	160003	1.511
chr2	182305	1.813
chr2	239969	1.813
chr2	251459	2.115
chr2	251469	2.115
chr2	283583	2.417
chr2	386631	2.929
chr2	431893	3.323
chr2	516859	3.625
chr2	565093	5.438
chr2	605205	5.438
chr2	684464	6.016
chr2	778971	6.523
chr2	844723	7.251
chr2	844724	7.251
chr2	896828	7.831
chr2	957879	8.157
chr2	1090571	8.157
chr2	1170699	8.459
chr2	1170719	8.460
chr2	1170750	8.461
chr2	1170793	8.765
chr2	1189257	9.366
chr2	1280374	9.366
chr2	1280444	9.901
chr2	1280465	9.973
chr2	1392523	9.973
chr2	1402945	10.275
chr2	1417860	10.275
chr2	1421710	10.577
chr2	1441566	10.577
chr2	1442608	10.579
chr2	1592804	11.349
chr2	1592807	11.349
chr2	1605463	11.691
chr2	1681020	11.786
chr2	1736649	11.786
chr2	1736704	12.088
chr2	1814591	12.390
chr2	2002938	12.390
chr2	2090112	12.692
chr2	2320117	12.692
chr2	2320156	12.994
chr2	2369705	12.994
chr2	2386375	13.088
chr2	2477187	13.728
chr2	2523734	13.795
chr2	2523743	13.795
chr2	2536146	14.442
chr2	2536157	14.442
chr2	2597934	15.070
chr2	2673867	15.363
chr2	2700358	15.411
chr2	2700376	15.411
chr2	2700421	16.016
chr2	2700463	16.016
chr2	2726473	16.318
chr2	2928533	16.318
chr2	2987843	16.620
chr2	3019917	16.620
chr2	3160928	16.922
chr2	3246389	16.922
chr2	3246402	17.224
chr2	3247618	17.224
chr2	3268871	17.526
chr2	3268964	17.526
chr2	3318400	17.570
chr2	3318477	17.570
chr2	3397342	18.067
chr2	3509330	18.343
chr2	3610498	19.243
chr2	3657271	19.339
chr2	3890270	19.339
chr2	3890282	19.339
chr2	3897265	19.988
chr2	3897274	19.989
chr2	3897288	20.291
chr2	3936201	20.548
chr2	3972403	20.548
chr2	4012656	20.581
chr2	4338099	21.402
chr2	4368933	21.454
chr2	4655164	21.454
chr2	4655165	21.756
chr2	4738476	21.756
chr2	4738477	21.756
chr2	4843850	22.662
chr2	4843862	22.662
chr2	4847705	22.662
chr2	4969692	23.267
chr2	4988425	23.267
chr2	4988791	23.268
chr2	5103108	24.135
chr2	5103143	24.135
chr2	5119698	24.173
chr2	5119718	24.173
chr2	5345034	24.671
chr2	5393280	25.043
chr2	5399923	25.381
chr2	5553095	25.381
chr2	5553108	25.381
chr2	5731418	25.986
chr2	5731447	25.986
chr2	5737831	25.986
chr2	5755793	26.288
chr2	5866367	26.590
chr2	5916031	26.590
chr2	6044003	26.892
chr2	6044013	27.496
chr2	6044024	27.496
chr2	6224056	27.496
chr2	6239899	27.815
chr2	6405008	28.286
chr2	6518094	28.705
chr2	6668423	28.705
chr2	6690613	29.309
chr2	6756343	29.309
chr2	6805441	29.474
chr2	6846083	30.277
chr2	6846113	30.278
chr2	6927499	30.404
chr2	6953190	30.745
chr2	6965142	30.764
chr2	7001305	30.937
chr2	7058100	31.122
chr2	7058168	31.424
chr2	7091452	31.424
chr2	7091521	31.425
chr2	7187337	33.014
chr2	7207872	33.592
chr2	7208964	33.606
chr2	7208973	33.607
chr2	7249905	34.143
chr2	7249915	34.143
chr2	7266043	34.143
chr2	7266110	34.726
chr2	7266115	34.751
chr2	7315084	34.751
chr2	7490900	35.279
chr2	7516189	35.960
chr2	7516190	35.960
chr2	7698317	35.960
chr2	7807784	36.554
chr2	7807785	36.554
chr2	7811359	36.587
chr2	7855046	36.866
chr2	7855068	37.168
chr2	7888230	37.289
chr2	7922193	38.017
chr2	7937851	38.074
chr2	7937867	38.074
chr2	8027469	38.853
chr2	8092928	38.981
chr2	8095277	38.981
chr2	8095330	38.981
chr2	8128930	39.713
chr2	8254199	40.189
chr2	8351916	40.189
chr2	8420558	41.017
chr2	8482852	41.522
chr2	8482854	41.522
chr2	8583693	41.920
chr2	8637647	42.576
chr2	8637658	42.576
chr2	8669375	43.210
chr2	8669411	43.210
chr2	8669415	43.513
chr2	8810979	43.513
chr2	8811577	43.815
chr2	8847811	43.815
chr2	8904082	44.117
chr2	8924642	44.419
chr2	9045316	44.419
chr3	0	0.000
chr3	239215	0.000
chr3	265450	0.649
chr3	265470	0.649
chr3	400898	1.181
chr3	400961	1.182
chr3	417151	1.510
chr3	417156	1.510
chr3	417183	1.511
chr3	417188	1.813
chr3	516353	3.089
chr3	540192	3.323
chr3	598230	3.743
chr3	689146	3.928
chr3	758757	4.386
chr3	823585	4.532
chr3	830390	4.532
chr3	838122	5.149
chr3	861673	5.190
chr3	1004345	5.631
chr3	1085280	6.042
chr3	1085310	6.042
chr3	1087027	6.047
chr3	1166583	7.069
chr3	1196440	7.339
chr3	1196495	7.642
chr3	1273545	8.371
chr3	1273614	8.674
chr3	1286045	8.731
chr3	1292599	8.822
chr3	1298486	8.877
chr3	1318531	9.366
chr3	1318539	9.366
chr3	1333911	9.366
chr3	1385649	9.668
chr3	1648277	9.668
chr3	1709161	9.970
chr3	1709232	9.970
chr3	1754664	10.323
chr3	1894265	10.480
chr3	1978505	11.178
chr3	2133787	11.178
chr3	2133794	11.481
chr3	2174318	11.481
chr3	2174323	11.739
chr3	2174324	11.826
chr3	2258155	12.238
chr3	2258164	12.541
chr3	2276977	12.633
chr3	2276982	12.633
chr3	2327039	12.911
chr3	2327042	13.213
chr3	2361606	13.336
chr3	2460769	13.336
chr3	2460781	13.336
chr3	2597099	13.664
chr3	2647088	14.086
chr3	2700628	14.387
chr3	2700643	15.294
chr3	2771969	15.841
chr3	2847492	16.358
chr3	2847496	16.358
chr3	2895097	17.153
chr3	2998232	17.566
chr3	3114347	17.566
chr3	3125123	17.868
chr3	3125196	17.868
chr3	3240823	18.170
chr3	3259213	18.170
chr3	3271793	18.202
chr3	3366521	18.547
chr3	3366536	18.547
chr3	3552582	19.667
chr3	3569081	19.748
chr3	3704379	21.112
chr3	3863302	22.400
chr3	3889954	23.105
chr3	4216946	24.338
chr3	4220273	24.477
chr3	4232896	25.607
chr3	4232900	25.607
chr3	4232906	25.607
chr3	4320841	26.921
chr3	4506436	28.442
chr3	4561143	28.496
chr3	4654353	29.192
chr3	4814616	29.349
chr3	4969659	29.651
chr3	5008046	29.651
chr3	5026015	29.979
chr3	5026029	29.979
chr3	5062851	30.056
chr3	5203083	30.449
chr3	5247443	30.620
chr3	5382393	31.444
chr3	5487411	32.346
chr3	5487428	32.346
chr3	5491704	32.370
chr3	5508485	32.370
chr3	5527322	32.974
chr3	5622398	32.974
chr3	5639061	33.276
chr3	5772682	33.276
chr3	5816219	33.578
chr3	5890454	33.578
chr3	5890463	33.880
chr3	6117245	33.880
chr3	6143774	34.182
chr3	6257340	35.089
chr3	6261444	35.089
chr3	6301550	35.119
chr3	6385307	35.785
chr3	6398261	36.097
chr3	6562992	36.220
chr3	6591184	36.543
chr3	6666953	36.599
chr3	6673369	36.599
chr3	6790139	36.902
chr3	6853570	37.204
chr3	6853578	37.204
chr3	6947069	37.808
chr3	6963278	37.808
chr3	6964383	37.815
chr3	7062528	38.689
chr3	7071300	38.714
chr3	7450740	38.714
chr3	7458461	39.016
chr3	7628809	39.016
chr3	7688933	39.653
chr3	7737482	39.923
chr3	7971314	39.923
chr3	8019687	40.829
chr3	8019723	40.829
chr3	8065016	40.829
chr3	8116503	40.964
chr3	8180578	41.266
chr3	8259731	41.433
chr3	8286494	41.433
chr3	8316127	41.735
chr3	8375948	41.735
chr3	8409518	42.642
chr3	8428915	42.642
chr3	8486776	43.386
chr3	8507997	43.608
chr3	8593574	43.850
chr3	8593580	43.850
chr3	8663872	44.152
chr3	8689923	44.152
chr3	8707512	44.454
chr3	8719825	44.543
chr3	8749535	44.832
chr3	8838241	45.459
chr3	8838244	45.459
chr3	9023033	45.954
chr3	9023045	45.954
chr3	9023064	46.257
chr3	9029733	46.267
chr3	9069186	46.267
chr3	9145000	46.871
chr3	9222057	46.871
chr3	9271243	47.173
chr3	9320093	47.173
chr3	9393343	47.476
chr3	9519901	47.476
chr3	9620911	47.778
chr3	9667955	47.778
chr3	9727669	48.001
chr3	9727671	48.002
chr3	9748558	48.985
chr3	9748588	48.986
chr3	10050714	48.986
chr3	10110359	49.288
chr3	10110401	49.288
